Symbol,Capt,Tdate,Ttime,PerfDay,Volume,VolumeAvg3m
EOG,45180000000,7/20/2016,4:00 PM,0.09%,2152274,3098980
EQT,12060000000,7/20/2016,4:01 PM,-0.20%,942629,1844690
EFX,16150000000,7/20/2016,4:02 PM,0.85%,368308,686384
EQIX,26340000000,7/20/2016,4:00 PM,-0.15%,387299,623759
EQR,25620000000,7/20/2016,4:03 PM,-0.88%,1314409,2212100
ESS,14810000000,7/20/2016,4:02 PM,-0.11%,250811,418589
EL,34520000000,7/20/2016,4:02 PM,0.01%,830728,1584940
ES,18370000000,7/20/2016,4:02 PM,-0.33%,809856,1722400
EXC,33420000000,7/20/2016,4:00 PM,-0.90%,3000066,5078600
EXPE,17470000000,7/20/2016,4:00 PM,0.91%,1335528,2060640
EXPD,9070000000,7/20/2016,4:00 PM,-0.38%,838582,1490400
ESRX,50080000000,7/20/2016,4:00 PM,0.23%,3246814,3558300
EXR,11620000000,7/20/2016,4:02 PM,0.65%,854046,976889
XOM,3.89E+11,7/20/2016,4:00 PM,-0.57%,7258141,10851900
FFIV,8140000000,7/20/2016,4:00 PM,0.72%,1301398,955632
FB,3.49E+11,7/20/2016,4:00 PM,1.09%,19604656,22582400
FAST,12300000000,7/20/2016,4:00 PM,0.26%,3009787,2692790
FRT,11780000000,7/20/2016,4:02 PM,-0.40%,365676,340730
FDX,42970000000,7/20/2016,4:02 PM,0.24%,680494,1568060
FIS,25460000000,7/20/2016,4:01 PM,1.09%,1592183,2441150
FITB,14120000000,7/20/2016,4:00 PM,-0.11%,3862671,7425890
FSLR,4950000000,7/20/2016,4:00 PM,1.45%,1985035,2158900
FE,15280000000,7/20/2016,4:01 PM,-0.55%,2417098,4171640
FISV,24660000000,7/20/2016,4:00 PM,0.47%,529462,1002990
FLIR,4520000000,7/20/2016,4:00 PM,0.70%,864469,801844
FLS,6250000000,7/20/2016,4:02 PM,0.93%,1498196,1366670
FLR,7440000000,7/20/2016,4:02 PM,1.02%,669790,1267190
FMC,6510000000,7/20/2016,4:02 PM,0.54%,1516182,1563640
FTI,6280000000,7/20/2016,4:02 PM,1.24%,3718616,3316650
FL,7890000000,7/20/2016,4:02 PM,-0.21%,1265268,2586730
F,54590000000,7/20/2016,4:00 PM,0.66%,22427110,32327500
FTV,#VALUE!,7/20/2016,4:00 PM,-2.35%,3351701,N/A
FBHS,9450000000,7/20/2016,4:02 PM,0.74%,600363,1633940
BEN,20540000000,7/20/2016,4:02 PM,1.56%,3768075,3303910
FCX,15400000000,7/20/2016,4:01 PM,-1.20%,38981247,42230200
FTR,5910000000,7/20/2016,4:00 PM,0.40%,10289908,15579700
GPS,9640000000,7/20/2016,4:04 PM,1.13%,3373605,7540840
GRMN,8650000000,7/20/2016,4:00 PM,0.09%,500564,860338
GD,44510000000,7/20/2016,4:00 PM,0.86%,1508994,1658830
GE,3.01E+11,7/20/2016,4:00 PM,-0.46%,35524027,34472800
GGP,27630000000,7/20/2016,4:02 PM,0.64%,2757135,3998020
GIS,42810000000,7/20/2016,4:00 PM,-1.29%,2836810,3173100
GM,48490000000,7/20/2016,4:00 PM,0.77%,20854074,12285800
GPC,14960000000,7/20/2016,4:02 PM,0.27%,795213,644802
GILD,1.15E+11,7/20/2016,4:00 PM,1.43%,8979066,9481950
GPN,10070000000,7/20/2016,4:02 PM,1.50%,765791,2032490
GS,70730000000,7/20/2016,4:00 PM,0.22%,3543296,3403210
GT,7080000000,7/20/2016,4:00 PM,0.38%,1568465,3424920
GWW,13310000000,7/20/2016,4:00 PM,-0.34%,940173,568610
HAL,38050000000,7/20/2016,4:01 PM,-1.58%,16011297,10225700
HBI,10200000000,7/20/2016,4:02 PM,1.05%,3588880,3654170
HOG,9050000000,7/20/2016,4:04 PM,2.26%,2695985,2918210
HAR,5710000000,7/20/2016,4:02 PM,3.73%,924452,996448
HRS,10730000000,7/20/2016,4:02 PM,0.83%,645070,895700
HIG,17200000000,7/20/2016,4:02 PM,-0.07%,2301152,2420730
HAS,10140000000,7/20/2016,4:00 PM,0.31%,1906823,1144950
HCA,31490000000,7/20/2016,4:00 PM,1.47%,1696971,2535160
HCP,17910000000,7/20/2016,4:00 PM,0.55%,3410552,3924040
HP,7100000000,7/20/2016,4:02 PM,-1.28%,1715928,1778880
HSIC,14840000000,7/20/2016,4:00 PM,0.19%,205534,418981
HES,16900000000,7/20/2016,4:01 PM,0.45%,3117731,3781100
HPE,33330000000,7/20/2016,4:03 PM,1.36%,5203715,10900100
HOLX,10270000000,7/20/2016,4:00 PM,0.88%,2025902,3230050
HD,1.71E+11,7/20/2016,4:00 PM,0.31%,3080519,4933150
HON,91360000000,7/20/2016,4:02 PM,0.44%,2162453,2651640
HRL,19520000000,7/20/2016,4:02 PM,0.05%,1386250,3432170
HST,12790000000,7/20/2016,4:02 PM,-0.75%,11176704,10031100
