Exchange,Symbol,Name,Sector,Industry,Headquarters,Latitude,Longitude
,SEV,SUEZ SA,Utilities,,France,46.227638,2.213749
,QIA,QIAGEN NV,Health Care,,Germany,51.165691,10.451526
,RAND,RANDSTAD HOLDING,Industrials,,Netherlands,52.132633,5.291266
,POP,BANCO POPULAR ESPANOL SA,Financials,,Spain,40.463667,-3.74922
,MEO,METRO AG,Consumer Staples,,Germany,51.165691,10.451526
,PFG,PROVIDENT FINANCIAL PLC,Financials,,United Kingdom,55.378051,-3.435973
,CLN,CLARIANT AG,Materials,,Switzerland,46.818188,8.227512
,TPK,TRAVIS PERKINS PLC,Industrials,,United Kingdom,55.378051,-3.435973
,SECU,SECURITAS,Industrials,,Sweden,60.128161,18.643501
,STERV,STORA ENSO OYJ,Materials,,Finland,61.92411,25.748151
,ATC,ALTICE CLASS A NV,Consumer Discretionary,,Netherlands,52.132633,5.291266
,RTO,RENTOKIL INITIAL PLC,Industrials,,United Kingdom,55.378051,-3.435973
,PRY,PRYSMIAN,Industrials,,Italy,41.87194,12.56738
,EDEN,EDENRED,Industrials,,France,46.227638,2.213749
,IAG,INTERNATIONAL AIRLINES GROUP SA,Industrials,,Spain,40.463667,-3.74922
,OSR,OSRAM LICHT N AG,Industrials,,Germany,51.165691,10.451526
,ALFA,ALFA LAVAL AB,Industrials,,Sweden,60.128161,18.643501
,VOW,VOLKSWAGEN AG,Consumer Discretionary,,Germany,51.165691,10.451526
,PROX,PROXIMUS NV,Telecommunication Services,,Belgium,50.503887,4.469936
,TATE,TATE AND LYLE PLC,Consumer Staples,,United Kingdom,55.378051,-3.435973
,SBRY,J SAINSBURY PLC,Consumer Staples,,United Kingdom,55.378051,-3.435973
,AGK,AGGREKO PLC,Industrials,,United Kingdom,55.378051,-3.435973
,SGRO,SEGRO REIT PLC,Financials,,United Kingdom,55.378051,-3.435973
,LDO,LEONARDO FINMECCANICA SPA,Industrials,,Italy,41.87194,12.56738
,WEIR,WEIR GROUP PLC,Industrials,,United Kingdom,55.378051,-3.435973
,LXS,LANXESS AG,Materials,,Germany,51.165691,10.451526
,TDC,TDC A/S,Telecommunication Services,,Denmark,56.26392,9.501785
,MAERSK A,A P MOLLER MAERSK,Industrials,,Denmark,56.26392,9.501785
,TITR,TELECOM ITALIA S P A NEW AS DI RIS,Telecommunication Services,,Italy,41.87194,12.56738
,SDF,K+S AG,Materials,,Germany,51.165691,10.451526
,MB,MEDIOBANCA BANCA DI CREDITO FINANZ,Financials,,Italy,41.87194,12.56738
